Date,SKU,ProductName,Category,Material,Style,Color,Gender,Occasion,Weight(gms),Price,Price(INR),Quantity_Sold,Revenue,Rating,Stock
2024-04-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,28073.2,283775.33,36,1010635.2,3.6,93
2024-05-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,26561.12,283775.33,31,823394.72,3.6,93
2024-06-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,25963.72,283775.33,34,882766.48,3.6,93
2024-07-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,28100.74,283775.33,29,814921.46,3.6,93
2024-08-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,25882.31,283775.33,31,802351.61,3.6,93
2024-09-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,26043.24,283775.33,36,937556.64,3.6,93
2024-10-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27049.2,283775.33,31,838525.2,3.6,93
2024-11-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,25697.97,283775.33,44,1130710.68,3.6,93
2024-12-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,26125.63,283775.33,35,914397.05,3.6,93
2025-01-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,28264.88,283775.33,20,565297.6,3.6,93
2025-02-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27436.76,283775.33,19,521298.44,3.6,93
2025-03-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,28217.14,283775.33,21,592559.94,3.6,93
2025-04-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,28094.97,283775.33,19,533804.43,3.6,93
2025-05-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,26760.21,283775.33,21,561964.41,3.6,93
2025-06-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,28159.86,283775.33,23,647676.78,3.6,93
2025-07-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27354.94,283775.33,18,492388.92,3.6,93
2025-08-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27727.0,283775.33,14,388178.0,3.6,93
2025-09-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27265.56,283775.33,22,599842.32,3.6,93
2025-10-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27186.11,283775.33,20,543722.2,3.6,93
2025-11-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27426.01,283775.33,21,575946.21,3.6,93
2025-12-01,RJ0004,Diamond Anklet,Anklet,Pearl,Casual,Rose,Unisex,Daily Wear,34.34,27459.55,283775.33,16,439352.8,3.6,93
2024-01-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,215370.86,4980.74,32,6891867.52,3.3,17
2024-02-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,213367.67,4980.74,29,6187662.43,3.3,17
2024-03-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,212500.32,4980.74,35,7437511.2,3.3,17
2024-04-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,215587.61,4980.74,29,6252040.69,3.3,17
2024-05-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,232490.16,4980.74,33,7672175.28,3.3,17
2024-06-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,232350.86,4980.74,41,9526385.26,3.3,17
2024-07-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,226811.52,4980.74,28,6350722.56,3.3,17
2024-08-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,223028.76,4980.74,32,7136920.32,3.3,17
2024-09-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,231797.83,4980.74,42,9735508.86,3.3,17
2024-10-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,218135.2,4980.74,48,10470489.6,3.3,17
2024-11-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,232092.76,4980.74,53,12300916.28,3.3,17
2024-12-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,234839.61,4980.74,43,10098103.23,3.3,17
2025-01-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,221687.11,4980.74,31,6872300.41,3.3,17
2025-02-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,218331.18,4980.74,28,6113273.04,3.3,17
2025-03-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,215618.72,4980.74,34,7331036.48,3.3,17
2025-04-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,212998.46,4980.74,37,7880943.02,3.3,17
2025-05-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,212612.85,4980.74,40,8504514.0,3.3,17
2025-06-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,234564.54,4980.74,33,7740629.82,3.3,17
2025-07-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,218225.43,4980.74,32,6983213.76,3.3,17
2025-08-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,224892.96,4980.74,30,6746788.8,3.3,17
2025-09-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,227426.51,4980.74,34,7732501.34,3.3,17
2025-10-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,235415.2,4980.74,43,10122853.6,3.3,17
2025-11-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,223442.32,4980.74,53,11842442.96,3.3,17
2025-12-01,RJ0005,Platinum Earrings,Ring,Silver,Modern,Yellow,Unisex,Festive,50.98,230134.63,4980.74,38,8745115.94,3.3,17
2024-01-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,220994.3,172462.66,27,5966846.1,3.8,2
2024-02-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,209962.71,172462.66,30,6298881.3,3.8,2
2024-03-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,225147.8,172462.66,27,6078990.6,3.8,2
2024-04-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,209891.47,172462.66,32,6716527.04,3.8,2
2024-05-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,221659.14,172462.66,41,9088024.74,3.8,2
2024-06-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,225137.9,172462.66,42,9455791.8,3.8,2
2024-07-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,205761.71,172462.66,38,7818944.98,3.8,2
2024-08-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,218937.25,172462.66,36,7881741.0,3.8,2
2024-09-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,219687.36,172462.66,48,10544993.28,3.8,2
2024-10-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,209629.26,172462.66,59,12368126.34,3.8,2
2024-11-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,222095.63,172462.66,64,14214120.32,3.8,2
2024-12-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,216517.72,172462.66,52,11258921.44,3.8,2
2025-01-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,211834.65,172462.66,37,7837882.05,3.8,2
2025-02-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,223234.37,172462.66,40,8929374.8,3.8,2
2025-03-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,217913.22,172462.66,37,8062789.14,3.8,2
2025-04-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,211121.75,172462.66,43,9078235.25,3.8,2
2025-05-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,204461.95,172462.66,46,9405249.7,3.8,2
2025-06-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,206140.25,172462.66,58,11956134.5,3.8,2
2025-07-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,204734.56,172462.66,46,9417789.76,3.8,2
2025-08-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,223467.12,172462.66,40,8938684.8,3.8,2
2025-09-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,210601.72,172462.66,56,11793696.32,3.8,2
2025-10-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,215703.47,172462.66,69,14883539.43,3.8,2
2025-11-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,219755.25,172462.66,88,19338462.0,3.8,2
2025-12-01,RJ0006,Platinum Anklet,Bracelet,Pearl,Antique,Green,Men,Festive,30.0,221181.68,172462.66,68,15040354.24,3.8,2
2024-01-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,135218.27,214692.72,17,2298710.59,4.9,31
2024-02-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,125391.33,214692.72,21,2633217.93,4.9,31
2024-03-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,135292.47,214692.72,18,2435264.46,4.9,31
2024-04-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,128460.9,214692.72,21,2697678.9,4.9,31
2024-05-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,133698.6,214692.72,25,3342465.0,4.9,31
2024-06-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,124533.57,214692.72,28,3486939.96,4.9,31
2024-07-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,127223.81,214692.72,18,2290028.58,4.9,31
2024-08-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,127386.66,214692.72,18,2292959.88,4.9,31
2024-09-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,128569.54,214692.72,29,3728516.66,4.9,31
2024-10-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,131527.38,214692.72,33,4340403.54,4.9,31
2024-11-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,132715.67,214692.72,31,4114185.77,4.9,31
2024-12-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,130932.14,214692.72,31,4058896.34,4.9,31
2025-01-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,132309.98,214692.72,20,2646199.6,4.9,31
2025-02-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,125431.36,214692.72,18,2257764.48,4.9,31
2025-03-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,129327.08,214692.72,25,3233177.0,4.9,31
2025-04-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,127440.02,214692.72,23,2931120.46,4.9,31
2025-05-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,134523.21,214692.72,22,2959510.62,4.9,31
2025-06-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,135852.99,214692.72,27,3668030.73,4.9,31
2025-07-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,129049.18,214692.72,20,2580983.6,4.9,31
2025-08-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,131868.28,214692.72,21,2769233.88,4.9,31
2025-09-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,132743.18,214692.72,24,3185836.32,4.9,31
2025-10-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,135172.84,214692.72,30,4055185.2,4.9,31
2025-11-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,123273.46,214692.72,33,4068024.18,4.9,31
2025-12-01,RJ0007,Diamond Bangle,Ring,Platinum,Luxury,Green,Unisex,Gift,46.35,122904.65,214692.72,27,3318425.55,4.9,31
2024-01-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,123709.02,255463.25,15,1855635.3,4.1,87
2024-02-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,130457.79,255463.25,14,1826409.06,4.1,87
2024-03-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,131068.99,255463.25,15,1966034.85,4.1,87
2024-04-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,126927.32,255463.25,13,1650055.16,4.1,87
2024-05-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,123704.85,255463.25,12,1484458.2,4.1,87
2024-06-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,131949.57,255463.25,12,1583394.84,4.1,87
2024-07-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,133078.96,255463.25,11,1463868.56,4.1,87
2024-08-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,129073.1,255463.25,8,1032584.8,4.1,87
2024-09-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,133295.71,255463.25,10,1332957.1,4.1,87
2024-10-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,122300.23,255463.25,11,1345302.53,4.1,87
2024-11-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,123951.02,255463.25,12,1487412.24,4.1,87
2024-12-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,134497.1,255463.25,8,1075976.8,4.1,87
2025-01-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,134371.04,255463.25,4,537484.16,4.1,87
2025-02-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,129547.76,255463.25,4,518191.04,4.1,87
2025-03-01,RJ0008,Pearl Bangle,Anklet,Diamond,Traditional,Rose,Men,Daily Wear,31.79,134011.0,255463.25,4,536044.0,4.1,87
